"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOD","PROP0NOD","OWNYD","OWNYD_","DISPMTHD","DISP_THD","DISPX","DISPX_","DISPEXPX","DISP_XPX","DISPMO","DISPMO_","DISPYR","DISPYR_"
"20161","03109634",17,0,"1","02","D","300","D","1","D",376750,"V",22000,"F","11","D","2015","D"
"20161","03109884",32,0,"1","01","D","200","D","1","D",116800,"D",0,"D","12","D","2015","D"
"20161","03147584",27,0,"1","01","D","300","D","3","D",.,"A",.,"A","11","D","2015","D"
"20161","03192833",20,0,"2","02","D","200","D","1","D",218000,"F",15000,"F","10","D","2015","D"
"20161","03194673",11,0,"1","01","D","400","D","1","D",61000,"F",4000,"F","10","D","2015","D"
"20161","03195433",26,0,"1","02","D","300","D","3","D",.,"A",.,"A","10","D","2015","D"
"20161","03195613",20,0,"1","01","D","100","D","2","D",.,"A",.,"A","12","D","2015","D"
"20161","03228903",30,0,"1","01","D","200","D","2","D",.,"A",.,"A","01","D","2016","D"
"20161","03229133",22,0,"1","03","D","300","D","1","D",.,"A",.,"A","12","D","2000","D"
"20161","03251312",7,0,"1","02","D","200","D","3","D",.,"A",.,"A","01","D","2001","D"
"20161","03275352",10,0,"1","01","D","200","D","1","D",243500,"D",5000,"F","12","D","2015","D"
"20161","03297004",18,0,"1","01","D","200","D","3","D",.,"A",.,"A","02","D","2016","D"
"20161","03298762",14,0,"1","03","D","400","D","1","D",540000,"T",36000,"F","01","D","2016","D"
"20161","03301644",37,0,"1","01","D","200","D","1","D",210000,"D",5000,"D","01","D","2016","D"
"20161","03330323",38,0,"1","01","D","200","D","1","D",255000,"D",15300,"F","12","D","2015","D"
"20161","03333463",23,0,"1","01","D","200","D","1","D",469000,"D",28000,"F","12","D","2015","D"
"20161","03334961",15,0,"1","02","D","300","D","1","D",376750,"T",22000,"D","11","D","2015","D"
"20161","03351081",14,0,"1","01","D","200","D","1","D",176000,"F",5000,"D","12","D","2015","D"
"20162","03192484",29,0,"1","04","D","400","D","2","D",.,"A",.,"A","01","D","2015","D"
"20162","03229134",30,0,"1","02","D","200","D","1","D",495000,"D",33000,"D","03","D","2016","D"
"20162","03229874",30,0,"1","02","D","400","D","1","D",60000,"F",3000,"F","05","D","2016","D"
"20162","03231174",12,0,"1","01","D","200","D","1","D",.,"A",.,"A","05","D","2013","D"
"20162","03231614",26,0,"1","03","D","400","D","1","D",40000,"D",0,"D","03","D","2016","D"
"20162","03236394",43,0,"1","13","D","400","D","3","D",.,"A",.,"A","03","D","2016","D"
"20162","03236394",44,0,"1","14","D","400","D","3","D",.,"A",.,"A","04","D","2016","D"
"20162","03236394",45,0,"1","16","D","400","D","3","D",.,"A",.,"A","04","D","2016","D"
"20162","03252863",20,0,"1","02","D","200","D","3","D",.,"A",.,"A","03","D","2016","D"
"20162","03279193",16,0,"1","03","D","400","D","1","D",60000,"D",3000,"D","03","D","2016","D"
"20162","03295553",12,0,"1","02","D","400","D","3","D",.,"A",.,"A","03","D","2016","D"
"20162","03297403",33,0,"1","01","D","300","D","1","D",240000,"D",45000,"D","04","D","2016","D"
"20162","03298763",16,0,"1","04","D","400","D","1","D",.,"A",.,"A","03","D","2016","D"
"20162","03301013",25,0,"1","03","D","400","D","1","D",.,"A",.,"A","03","D","2015","D"
"20162","03301203",30,0,"1","01","D","300","D","1","D",185000,"D",15000,"F","03","D","2016","D"
"20162","03301463",18,0,"1","01","D","300","D","1","D",376750,"T",19770,"D","03","D","2016","D"
"20162","03324272",25,0,"1","02","D","200","D","1","D",255000,"D",15600,"D","02","D","2016","D"
"20162","03340102",18,0,"1","02","D","200","D","1","D",.,"A",.,"A","04","D","2015","D"
"20162","03340462",21,0,"1","01","D","400","D","1","D",23000,"D",0,"D","03","D","2016","D"
"20162","03342392",11,0,"1","01","D","200","D","1","D",30000,"D",0,"D","02","D","2016","D"
"20162","03353022",14,0,"1","02","D","200","D","3","D",.,"A",.,"A","03","D","2016","D"
"20162","03392381",14,0,"1","02","D","200","D","1","D",525000,"D",2500,"D","03","D","2016","D"
"20162","03395931",13,0,"1","01","D","300","D","1","D",255000,"D",15000,"D","01","D","2016","D"
"20162","03411541",13,0,"1","02","D","200","D","2","D",.,"A",.,"A","04","D","2016","D"
"20162","03415604",35,0,"1","02","D","200","D","1","D",200000,"D",0,"D","02","D","2016","D"
"20163","03252544",33,0,"1","03","D","400","D","1","D",540000,"V",6500,"F","05","D","2016","D"
"20163","03270574",20,0,"1","03","D","300","D","2","D",.,"A",.,"A","05","D","2016","D"
"20163","03326163",22,0,"1","02","D","400","D","1","D",540000,"T",6500,"D","05","D","2016","D"
"20163","03327673",36,0,"2","02","D","200","D","1","D",649200,"T",2000,"D","04","D","2016","D"
"20163","03336323",18,0,"1","01","D","200","D","1","D",450000,"D",32000,"D","06","D","2016","D"
"20163","03340563",15,0,"1","03","D","200","D","1","D",.,"A",.,"A","05","D","2016","D"
"20163","03355313",29,0,"1","02","D","200","D","1","D",260000,"D",4000,"D","08","D","2016","D"
"20163","03386962",30,0,"1","02","D","200","D","1","D",220000,"D",10000,"D","06","D","2016","D"
"20163","03395792",18,0,"1","01","D","200","D","1","D",270000,"D",5000,"D","04","D","2016","D"
"20163","03409492",30,0,"1","02","D","400","D","3","D",.,"A",.,"A","06","D","2016","D"
"20163","03413302",34,0,"1","03","D","400","D","3","D",.,"A",.,"A","07","D","2016","D"
"20163","03421573",34,0,"1","03","D","200","D","1","D",423000,"D",20000,"D","08","D","2016","D"
"20163","03424142",19,0,"1","02","D","300","D","1","D",145000,"D",0,"D","08","D","2016","D"
"20163","03426492",14,0,"1","01","D","200","D","2","D",.,"A",.,"A","06","D","2016","D"
"20163","03440221",12,0,"1","03","D","300","D","3","D",.,"A",.,"A","04","D","2016","D"
"20163","03445444",26,0,"1","03","D","300","D","3","D",.,"A",.,"A","06","D","2016","D"
"20163","03445791",41,0,"1","02","D","200","D","1","D",150000,"D",32000,"F","05","D","2016","D"
"20163","03448901",28,0,"1","02","D","200","D","1","D",175000,"D",32000,"F","05","D","2016","D"
"20163","03449634",18,0,"1","02","D","200","D","1","D",250000,"D",2500,"D","04","D","2016","D"
"20163","03461041",37,0,"1","03","D","400","D","3","D",.,"A",.,"A","07","D","2016","D"
"20163","03465314",27,0,"1","02","D","200","D","1","D",201000,"D",12000,"D","06","D","2016","D"
"20163","03493411",20,0,"1","02","D","400","D","1","D",27000,"D",1900,"D","07","D","2016","D"
"20163","03493441",18,0,"1","03","D","200","D","1","D",119900,"D",7000,"D","06","D","2016","D"
"20163","03493811",23,0,"1","02","D","200","D","1","D",.,"A",.,"A","06","D","2016","D"
"20163","03494961",17,0,"1","03","D","400","D",,"C",.,"A",.,"A","06","D","2016","D"
"20163","03495363",6,0,"1","01","D","200","D","1","D",649200,"V",2000,"F","07","D","2016","D"
"20163","03501451",35,0,"1","02","D","300","D","1","D",180000,"D",5000,"D","06","D","2016","D"
"20164","03324454",48,0,"1","02","D","400","D","3","D",.,"A",.,"A","09","D","2016","D"
"20164","03329054",14,0,"1","02","D","200","D","2","D",.,"A",.,"A","08","D","2016","D"
"20164","03329574",31,0,"1","02","D","200","D","1","D",212000,"D",4578,"D","08","D","2016","D"
"20164","03332994",28,0,"1","02","D","200","D","1","D",.,"A",.,"A","08","D","2016","D"
"20164","03332994",29,0,"1","05","D","400","D","3","D",.,"A",.,"A","09","D","2016","D"
"20164","03347924",30,0,"1","03","D","300","D","1","D",162500,"D",25000,"D","11","D","2016","D"
"20164","03349464",15,0,"2","02","D","300","D","1","D",60000,"D",4000,"D","09","D","2016","D"
"20164","03355734",22,0,"1","02","D","400","D","1","D",30000,"D",2000,"D","10","D","2016","D"
"20164","03392693",16,0,"1","01","D","300","D","3","D",.,"A",.,"A","09","D","2016","D"
"20164","03409463",50,0,"1","01","D","200","D","1","D",182000,"D",16250,"D","08","D","2016","D"
"20164","03419494",15,0,"1","02","D","200","D","1","D",203000,"D",4000,"D","10","D","2016","D"
"20164","03426463",32,0,"2","02","D","300","D","1","D",115000,"D",18000,"D","09","D","2016","D"
"20164","03427003",10,0,"1","01","D","300","D","1","D",10000,"F",1000,"F","09","D","2016","D"
"20164","03442302",12,0,"1","02","D","200","D","3","D",.,"A",.,"A","09","D","2016","D"
"20164","03444492",23,0,"1","02","D","300","D",,"C",.,"A",.,"A","07","D","2016","D"
"20164","03468992",34,0,"1","02","D","200","D","1","D",260000,"D",20000,"D","09","D","2016","D"
"20164","03492842",19,0,"1","02","D","400","D","1","D",17833,"F",1500,"F","09","D","2016","D"
"20164","03494334",42,0,"1","01","D","200","D","3","D",.,"A",.,"A","10","D","2016","D"
"20164","03509301",34,0,"1","02","D","400","D","1","D",30000,"F",2500,"D","07","D","2016","D"
"20164","03512831",16,0,"1","02","D","200","D","1","D",124000,"D",14210,"F","08","D","2016","D"
"20164","03526181",47,0,"1","02","D","200","D","1","D",153000,"D",14210,"D","08","D","2016","D"
"20164","03531804",5,0,"1","01","D","200","D","3","D",.,"A",.,"A","09","D","2016","D"
"20164","03533894",12,0,"1","02","D","200","D","1","D",179900,"D",10175,"D","10","D","2016","D"
"20164","03547011",21,0,"1","02","D","300","D","1","D",115000,"F",18000,"F","11","D","2016","D"
"20164","03554552",15,0,"1","02","D","200","D","1","D",273000,"D",8000,"D","11","D","2016","D"
"20164","03555583",11,0,"1","02","D","200","D","1","D",65000,"D",4000,"F","10","D","2016","D"
"20171","03388834",36,0,"1","02","D","300","D","1","D",561,"D",561,"D","12","D","2016","D"
"20171","03394964",20,0,"1","02","D","300","D","3","D",.,"A",.,"A","10","D","2016","D"
"20171","03409654",16,0,"1","02","D","300","D","3","D",.,"A",.,"A","12","D","2016","D"
"20171","03409834",20,0,"1","02","D","400","D",,"C",.,"A",.,"A","12","D","2016","D"
"20171","03413544",24,0,"1","01","D","300","D","3","D",.,"A",.,"A","11","D","2016","D"
"20171","03418564",35,0,"1","01","D","200","D","1","D",186500,"D",12799,"D","02","D","2017","D"
"20171","03448313",27,0,"1","01","D","300","D","3","D",.,"A",.,"A","12","D","2006","D"
"20171","03470503",37,0,"1","03","D","300","D","3","D",.,"A",.,"A","01","D","2017","D"
"20171","03497103",75,0,"1","03","D","200","D","1","D",649200,"T",19000,"D","12","D","2016","D"
"20171","03503112",37,0,"1","02","D","300","D","1","D",376750,"T",0,"D","11","D","2016","D"
"20171","03505172",56,0,"1","02","D","300","D","1","D",130000,"D",7800,"D","11","D","2016","D"
"20171","03505762",46,0,"1","03","D","300","D","1","D",125000,"D",0,"D","12","D","2016","D"
"20171","03507452",10,0,"1","01","D","200","D","2","D",.,"A",.,"A","11","D","2016","D"
"20171","03507452",11,0,"1","02","D","200","D","2","D",.,"A",.,"A","10","D","2016","D"
"20171","03508852",18,0,"1","02","D","300","D","3","D",.,"A",.,"A","11","D","2016","D"
"20171","03525552",30,0,"1","03","D","200","D","2","D",.,"A",.,"A","12","D","2016","D"
"20171","03526212",16,0,"1","03","D","400","D","1","D",540000,"T",52000,"D","12","D","2016","D"
"20171","03526992",21,0,"1","02","D","200","D","1","D",50000,"D",0,"D","01","D","2017","D"
"20171","03527442",20,0,"1","02","D","300","D","2","D",.,"A",.,"A","12","D","2016","D"
"20171","03546832",25,0,"1","04","D","400","D","3","D",.,"A",.,"A","12","D","2016","D"
"20171","03553952",22,0,"1","01","D","100","D","3","D",.,"A",.,"A","12","D","2016","D"
"20171","03555584",11,0,"1","01","D","200","D","1","D",649200,"V",19000,"F","12","D","2016","D"
"20171","03555812",30,0,"1","02","D","200","D","2","D",.,"A",.,"A","02","D","2017","D"
"20171","03566531",46,0,"1","07","D","400","D","1","D",114000,"D",8940,"D","10","D","2016","D"
"20171","03569481",30,0,"1","02","D","200","D","1","D",649200,"T",0,"D","12","D","2016","D"
"20171","03570001",21,0,"1","02","D","300","D","3","D",.,"A",.,"A","12","D","2016","D"
"20171","03573051",15,0,"1","01","D","200","D","1","D",2800,"D",0,"D","10","D","2016","D"
"20171","03574491",15,0,"1","02","D","300","D","1","D",160000,"D",12000,"D","11","D","2016","D"
"20171","03597653",23,0,"1","02","D","200","D","1","D",226000,"D",12000,"D","12","D","2016","D"
"20171","03600681",17,0,"1","02","D","300","D","2","D",.,"A",.,"A","01","D","2017","D"
