"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20161","03090294",21,0,"5","01","D","100","D","1","D",0.05,"D",257,"F",1141,"F","01","D",20533,"F"
"20161","03091264",16,0,"5","01","D","100","D","1","D",0.05,"D",563,"D",283,"D","01","D",45000,"D"
"20161","03092984",64,0,"5","01","D","100","D","1","D",0.05,"D",238,"D",662,"D","01","D",19000,"D"
"20161","03093824",30,0,"5","01","D","100","D","2","D",0.05,"D",.,"A",.,"A","01","D",114000,"D"
"20161","03094124",13,0,"5","01","D","100","D","1","D",0.05,"D",4,"D",296,"D","01","D",300,"D"
"20161","03095564",32,0,"5","01","D","100","D","2","D",0.05,"D",.,"A",.,"A","01","D",0,"D"
"20161","03096184",34,0,"5","01","D","100","D","1","D",0.05,"D",183,"D",207,"D","01","D",14600,"D"
"20161","03097964",27,0,"5","01","D","100","D","1","D",0.05,"D",58,"D",242,"D","01","D",4600,"D"
"20161","03099144",33,0,"5","01","D","100","D","2","D",0.05,"D",.,"A",.,"A","01","D",0,"D"
"20161","03099424",45,0,"5","01","D","100","D","2","D",0.05,"D",625,"F",1175,"F","01","D",50000,"F"
"20161","03100594",22,0,"5","01","D","100","D","1","D",0.05,"D",1375,"D",245,"D","01","D",110000,"D"
"20161","03101264",10,0,"5","01","D","100","D","2","D",0.05,"D",300,"F",600,"F","01","D",24000,"F"
"20161","03101384",16,0,"5","01","D","100","D","2","D",0.05,"D",.,"A",.,"A","01","D",17000,"D"
"20161","03101764",71,0,"5","01","D","100","D","1","D",0.05,"D",263,"D",1237,"D","01","D",21000,"D"
"20161","03103124",49,0,"5","01","D","100","D","2","D",0.05,"D",.,"A",.,"A","01","D",0,"D"
"20161","03103484",12,0,"5","01","D","100","D","1","D",0.05,"D",1500,"D",38116,"T","01","D",120000,"D"
"20161","03103854",18,0,"5","01","D","100","D","1","D",0.05,"D",23,"D",727,"D","01","D",1800,"D"
"20161","03104774",53,0,"5","01","D","100","D","1","D",0.05,"D",1961,"D",38116,"T","01","D",156840,"D"
